timestamp,blocks,ops_per_s,throughput_gib_s,elapsed_s,client_retcode,notes,raw_output
2025-11-20 13:30:52,880,76994.0,4.7,1.299,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.299 s  ops=76994 ops/s  throughput=4.70 GiB/s
"
2025-11-20 13:31:22,896,77704.0,4.74,1.287,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.287 s  ops=77704 ops/s  throughput=4.74 GiB/s
"
2025-11-20 13:31:51,912,77790.0,4.75,1.286,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.286 s  ops=77790 ops/s  throughput=4.75 GiB/s
"
2025-11-20 13:32:21,928,78380.0,4.78,1.276,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.276 s  ops=78380 ops/s  throughput=4.78 GiB/s
"
2025-11-20 13:32:51,944,78239.0,4.78,1.278,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.278 s  ops=78239 ops/s  throughput=4.78 GiB/s
"
2025-11-20 13:33:21,960,78494.0,4.79,1.274,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.274 s  ops=78494 ops/s  throughput=4.79 GiB/s
"
2025-11-20 13:33:50,976,78201.0,4.77,1.279,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.279 s  ops=78201 ops/s  throughput=4.77 GiB/s
"
2025-11-20 13:34:20,992,78111.0,4.77,1.28,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.280 s  ops=78111 ops/s  throughput=4.77 GiB/s
"
2025-11-20 13:34:50,1008,78034.0,4.76,1.281,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.281 s  ops=78034 ops/s  throughput=4.76 GiB/s
"
2025-11-20 13:35:20,1024,77745.0,4.75,1.286,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.286 s  ops=77745 ops/s  throughput=4.75 GiB/s
"
